"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"MONABRI CONSTRUCTION LTD","10703199","Jonathan Hill","Plas Madoc Villas Plas Y Wern","Ruabon","Wrexham","","LL14 6RN","Land At Sumners Farm And East Of Barkers Hollow Road Preston On The Hill Warrington WA4 4AZ","25/00231/REM","Halton","17","4641000","3017000"
"AAA & AN PROPERTY SOLUTION LIMITED","16746851","Azhar Mahmud","91 Mayville Road","","Ilford","","IG1 2HR","Land At Os 385100 280950 Caunsall Road Caunsall Kidderminster Worcestershire","26/0118/RES","Wyre Forest","4","1136000","738000"
"TOLLYMORE DEVELOPMENTS LTD","NI043436","Aidan Murray","12 Causeway Road","","Newcastle","County Down","BT33 0DL","Ellison House Albany Road London Southwark SE5 0AJ","26/AP/1211","Southwark","60","84420000","54873000"
"THE ANTUIM HILL PARTNERSHIP","SL003741","","43 Rockfield Road","Tobermory","Isle Of Mull","Argyll","","Fleming Road / Whitecote Road Golf Links Estate Southall UB1 3NR","262154CND","Ealing","147","77947000","50666000"
"HARRISON HOUSING","04932686","Colin Buick; Phil Green; Robert Hicks; Sue Hockett; Clive Lyons; Stephanie Mchugh; Paul Mcloughlin; Ian Morrison; Julia Nammuni; Raluchukwu Ogbue; Nigel Pollard","46 St. James's Gardens","","London","","W11 4RQ","Brooke House 100 Gunnersbury Lane Acton W3 8HS","261939CND","Ealing","102","70793000","46015000"
"SHACKLETON GATE LIMITED","16549238","Louis Agace","19 Leyden Street","","London","","E1 7LE","Shackleton House 209 Purley Way Croydon CR0 4FU","26/00564/DISC","Croydon","131","54365000","35337000"
"COUNTY CONSTRUCTION SOLUTIONS LTD","15136757","Ian Wheeler","44 Bryn Eglwys","Croesyceiliog","Cwmbran","","NP44 2LE","40-60, 42 & 42A Cherry Orchard Road Croydon CR0 6BA","26/01207/DISC","Croydon","120","52290000","33989000"
"KEEPMOAT LIMITED","01998780","Mark Dilley; Ian Hoad","Keepmoat The Waterfront","Lakeside Boulevard","Doncaster","South Yorkshire","DN4 5PL","Chesterton Farm Cranhams Lane Cirencester Gloucestershire GL7 6JP","26/01972/COMPLY","Cotswold","100","42000000","27300000"
"THOMAS ALEXANDER HOMES CONSTRUCTION LIMITED","13834573","Alexander Blease; Thomas Blease","Unit 2 Block C","14 Hulme Street","Salford","Greater Manchester","M5 4ZG","Staveley House Minskip Road Staveley North Yorkshire HG5 9LQ","26/03119/DISCON","North Yorkshire","76","29757000","19342000"
"MILLER HOMES LIMITED","SC255429","Graeme Gibson; Stewart Lynes; Benjamin Massey; David Mcgrath","Miller House","2 Lochside View","Edinburgh Park","Edinburgh","EH12 9DH","LAND SOUTH EAST OF 246 LICHFIELD ROAD BARTON UNDER NEEDWOOD","643647","East Staffordshire","100","23100000","15015000"
"MILLER HOMES LIMITED","SC255429","Graeme Gibson; Stewart Lynes; Benjamin Massey; David Mcgrath","Miller House","2 Lochside View","Edinburgh Park","Edinburgh","EH12 9DH","LAND SOUTH OF LICHFIELD ROAD BURTON-UPON-TRENT BRANSTON","643965","East Staffordshire","100","23100000","15015000"
"MILLER HOMES LIMITED","SC255429","Graeme Gibson; Stewart Lynes; Benjamin Massey; David Mcgrath","Miller House","2 Lochside View","Edinburgh Park","Edinburgh","EH12 9DH","BRANSTON LEAS (PHASE 5) LAND SOUTH OF LICHFIELD ROAD BRANSTON","644098","East Staffordshire","100","23100000","15015000"
"RIVERDALE DEVELOPMENTS LIMITED","05107050","Brian Bonnyman; Matthew Elnaugh; Robin Joslin-Smith; Thomas O'Brien; Louise O'Brien Smith","O'Brien House","197-199 Garth Road","Morden","Surrey","SM4 4NE","Land At Laburnum And Branscombe 50 Haroldslea Drive Horley Surrey RH6 9DU","26/00088/VS106","Reigate","40","22680000","14742000"
"BLACK DIAMOND SURFACING & LANDSCAPING LTD","14075913","Jamie Macdonald; Ian Meakin","6 Gatsby Crescent","","Stockport","","SK1 3DZ","Land East Of Alexander Lane Shenfield Essex Alexander Lane Shenfield CM15 8QE","24/00332/COND/2","Brentwood","38","21446000","13940000"
"HERTFORD HOUSING SOLUTIONS LIMITED","15907954","Paul Alterman; Jimmy Paschali; Theocharis Tsirtsipi","Solar House","282 Chase Road","London","","N14 6NZ","79 Windmill Hill Enfield EN2 7AF","26/00757/CND","Enfield","49","16802000","10921000"
"MANOR CREST CONSTRUCTION LIMITED","04225330","Leigh Hall; Dean Wann","Unit 1, The Circus","Belton Park Road","Skegness","","PE25 1GU","Land Off Mill Lane Woodhall Spa Lincolnshire","03605/25/RVC","East Lindsey","85","15853000","10304000"
"WELLINGTON & CO LIMITED","09031838","Aliya Fareed; Rizwan Fareed","91 Wimpole Street","","London","","W1G 0EF","Vacant Tfl Highways Land Formerly Comprising Nos. 108-112 Palmerston Crescent Enfield London N13","26/02132/CND","Enfield","31","15768000","10249000"
"ALLISON HOMES LIMITED","06235048","John Anderson; Adam Knight; Andrew Richards; Ian Trinder","Fleet House Cygnet Road","Hampton","Peterborough","","PE7 8FD","Adj To The Old Fire Station Bourne Road Corby Glen Lincolnshire NG33 4NS","S26/1193","South Kesteven","66","13860000","9009000"
"LAGAN HOMES LIMITED","NI016805","Leonie Hopcraft; John Lagan; Sean Mccann; Michael Mccormick; Linda Mckillen; Conor Mulligan","19 Clarendon Road","Clarendon Dock","Belfast","","BT1 3BG","Land West Of Saltby Road And South Of Mill Lane Saltby Road Croxton Kerrial","26/00345/DIS","Melton","39","10338000","6720000"
"LAFFORD HOMES LIMITED","10313301","Catherine Evans; Jason Jarvis; Matthew Spittles","Civic Offices","Kesteven Street","Sleaford","Lincolnshire","NG34 7EF","Orchard House Rauceby Hospital Grantham Road South Greylees Sleaford Lincolnshire","26/0534/DISCON","North Kesteven","40","9455000","6146000"
"LONDON ROAD LIVING LTD","12575619","Sandeep Rai; Harsev Randhawa","204 Field End Road","","Pinner","Middlesex","HA5 1RD","2 Beech Avenue South Croydon CR2 0NL","26/00080/DISC","Croydon","31","8626000","5607000"
"ANDMORE GROUP LIMITED","14363945","Christopher Andrews","The Annex","4 Back Grafton Street","Altrincham","Cheshire","WA14 1DY","Land South Of Honeywall Lane Honeywall Lane Newcastle Under Lyme Staffordshire","21/00593/2CN16","Newcastle under Lyme","34","6783000","4409000"
"MACKENZIE HOMES LIMITED","10762864","Tajinder Sangha","Fleetwood House","480 Bath Road","Slough","","SL1 6BB","Joes Folly Boarding Kennels Amerden Close Taplow Buckinghamshire SL6 0EF","PL/26/01674/VRC","Buckinghamshire","16","6499000","4224000"
"AQUINNA HOMES PLC","05353940","Stephen Brazier; Simon Seymour","Highway House","17 London End","Beaconsfield","Buckinghamshire","HP9 2HN","Redhill And Reigate Golf Club Clarence Lodge Pendleton Road Redhill Surrey RH1 6LB","25/02260/DET18","Reigate","10","5670000","3686000"
"RIVERDALE DEVELOPMENTS LIMITED","05107050","Brian Bonnyman; Matthew Elnaugh; Robin Joslin-Smith; Thomas O'Brien; Louise O'Brien Smith","O'Brien House","197-199 Garth Road","Morden","Surrey","SM4 4NE","Marketing Suite At Keystone Close Banstead Surrey SM7 3AX","20/01799/DET16","Reigate","10","5670000","3686000"
"MORRO PARTNERSHIPS LIMITED","02216084","Thomas Broadway; Thomas Goldsworthy; Matthew Moore; Simon Preston","Jessup House, 2 Station Court","Girton Road","Cannock","Staffordshire","WS11 0EJ","7 STANTON ROAD STAPENHILL BURTON UPON TRENT DE15 9RW","643959","East Staffordshire","23","5313000","3453000"
"BADGER BUILDING (E.ANGLIA) LIMITED","02407008","Justin Coote; Elliott George; Harrison George; Henry George; Robert Lockhart; Simon Muirhead","The Sett Lodge Lane","Blundeston","Lowestoft","Suffolk","NR32 5ED","Land At Rectory Lane Worlingham Suffolk","DC/26/1850/DRC","East Suffolk","19","4439000","2885000"
"EASYLIVING LIMITED","07784030","Lewis Edmunds","5 The Highlands","Old Barry Road","Penarth","","CF64 2AR","Castle Cinema Worcester Place Swansea SA1 1JQ","2026/0069/DOC","Swansea","30","3827000","2488000"
"EUROSPEAK BUILD LIMITED","13493925","Gaurav Vahi","Tunmers Lodge Narcot Lane","Chalfont St. Peter","Gerrards Cross","","SL9 8TL","Flagship House Reading Road North Fleet Hampshire GU51 4WP","26/01296/CON","Hart","16","3644000","2369000"
"KEARBY HOMES LIMITED","16376172","Gregory Akroyd; John Hardy; Aiden Mcmanus; Richard Watson","Lusteen House 24 Roydsdale Way","Euroway Industrial Estate","Bradford","West Yorkshire","BD4 6SE","North Yorkshire Timber Company Limited Trinity Lane Ripon North Yorkshire HG4 2AL","26/02205/DVCMAJ","North Yorkshire","13","3583000","2329000"
"JONES BROTHERS (HENLLAN) LIMITED","01553486","Nicolaas Blignaut; Mark Edwards; Huw Evans; Malcolm Griffiths; Gareth Jones; James Jones; Iwan Roberts","Heol Parc Mawr","Cross Hands Business Park","Cross Hands","Llanelli","SA14 6RE","Caewern House Dwr-Y-Felin Road Caewern Neath Port Talbot SA10 7RH","P2026/0373","Neath","36","3402000","2211000"
"JONES BROTHERS (HENLLAN) LIMITED","01553486","Nicolaas Blignaut; Mark Edwards; Huw Evans; Malcolm Griffiths; Gareth Jones; James Jones; Iwan Roberts","Heol Parc Mawr","Cross Hands Business Park","Cross Hands","Llanelli","SA14 6RE","Caewern House Dwr Y Felin Road Caewern Neath Neath Port Talbot SA10 7RH","P2026/0201","Neath","36","3402000","2211000"
"EXCELSUM LIVING LIMITED","16528422","Simon Hepden; Nicholas Moody","1 Princes Square","","Harrogate","","HG1 1ND","Vacant Land East Of Hambleton Grove Hambleton Grove Knaresborough North Yorkshire HG5 0DB","26/02227/DVCMAJ","North Yorkshire","14","2650000","1723000"
"SNOWDON HOMES LTD","08983239","Jonathan Lewis; John Leydon","Artemis House 4a Bramley Road","Mount Farm","Milton Keynes","","MK1 1PT","Land Rear Of Fineshade Close Kings Cliffe","26/01058/AOC","North Northamptonshire","10","2604000","1693000"
"RAWSON DEVELOPMENT LTD","04537664","Simon Rawson","The Old Vicarage, Main Street","Appleton Roebuck","York","North Yorkshire","YO23 7DG","Mayfield Station Road Kirk Hammerton North Yorkshire YO26 8DQ","26/01354/DVCON","North Yorkshire","4","1785000","1160000"
"R.S.SABKHA CONSTRUCTION AND DEVELOPMENTS LTD.","09943281","Shahd Sabkha","The Lake House","100 Sandygate Grove","Sheffield","South Yorkshire","S10 5SZ","180 Shalesmoor & Land Adjacent To 180 Shalesmoor Sheffield S3 8RG","26/00647/FUL","Sheffield","118","29814000","19379000"
"COUNTRYLARGE (CANAL MILLS) LIMITED","09179134","Timothy Smith","Spring Valley Works 111 Bagley Lane","Rodley","Leeds","","LS13 1FJ","Canal Mills Brandon Street Armley Leeds LS12 2ED","25/02531/FU","Leeds","102","19352000","12579000"
"ABBOTTS PROPERTIES (LEEDS) LIMITED","09956116","Darren Abbott; Martin Abbott","19 Pinfold Lane","","Leeds","","LS15 7SX","Bulcote Farm Old Main Road Bulcote NG14 5HA","25/02140/S19LBC","Newark and Sherwood","24","5712000","3713000"
"BENNETT-INGS (DEVELOPMENTS) LIMITED","02692532","Russell Wilson; Thomas Wilson","The Farm House","Tomlin Well Lane","Bradford","West Yorkshire","BD10 0FE","Building Between Cotton Street And 24 Alma Street Sheffield S3 8SA","26/00900/FUL","Sheffield","14","3052000","1984000"
"MEADOWCROFT HOMES BRACKLEY LTD","16436540","James Bowes; Tom West","4 Station Avenue","Tile Hill","Coventry","West Midlands","CV4 9HS","102 Nene View Irthlingborough NN9 5SG","26/00801/VAR","North Northamptonshire","7","1801000","1171000"
"CHERISH HOMES LIMITED","06334738","Melanie Ketzer; Stuart Law","Assetz House Manchester Green","335 Styal Road","Manchester","","M22 5LW","9 Silver Street, Tetsworth, Thame, OX9 7AR","P26/S0730/S73","South Oxfordshire","3","1512000","983000"
"HALLAM LAND MANAGEMENT LIMITED","02456711","Andrew Birch; Paul Burton; Peter Glazebrook; Edward Hutchinson; Darren Littlewood; Iain Macsween; Ruth Mckeown; Gary Smith; Rebecca Wasse","Isaacs Building","4 Charles Street","Sheffield","","S1 2HS","Land At Junction 20 M1 Swinford Road Lutterworth Leicestershire","25/00746/OUT","Harborough","90","29523000","19190000"
"TAYLOR WIMPEY UK LIMITED","01392762","Katherine Billson-Ross; Lee Bishop; Christopher Carney; Jennifer Daly; Ian Drummond; Muhammed Kayani; Tom Pocock; Maria Sebastian; Novraj Sidhu; Shaun White","Gate House","Turnpike Road","High Wycombe","Buckinghamshire","HP12 3NR","Land North Of Blackworth Blackworth Industrial Estate Highworth Swindon SN6 7NA","S/OUT/26/0009","Swindon","75","23641000","15367000"
"HOMES BY HONEY LIMITED","14306032","Jeremy Gledhill; Mark Mitchell","Third Floor 197 Wards Exchange","Ecclesall Road","Sheffield","","S11 8HW","Land At Former Rossington Colliery West End Lane New Rossington Doncaster DN11 0TT","26/00722/FULM","Doncaster","126","21962000","14275000"
"STAINES DEVCO LTD","17078443","Chaim Halvieim","Unit 4, First Floor","Colindeep Lane","London","","NW9 6BX","Birch House Fairfield Avenue Staines-upon-Thames TW18 4AB","26/00396/PAP","Spelthorne","28","14000000","9100000"
"PRITCHARD BUILDING LTD","11949265","Gareth Pritchard","7 Caer Street","","Swansea","","SA1 3PP","Lookers House 3 Etchells Road Altrincham WA14 5PQ","118221/PMA/26","Trafford","34","12719000","8267000"
"WATERCASTLE DOUGLAS LTD","17060219","Yacob Frankel; Hersch Schneck","69 Watermint Quay","","London","","N16 6DN","Kimberley Clark Europe Douglas House 40 London Road Reigate Surrey RH2 9QP","26/00923/PAP3MA","Reigate","37","9620000","6253000"
"SNAPE PROPERTIES LIMITED","01850600","Eloise Snape; Joseph Snape; Kevin Snape","1 Daisy Way","","Louth","Lincolnshire","LN11 0FS","Land At Fanthorpe Lane Louth Lincolnshire","03090/25/OUT","East Lindsey","47","8766000","5698000"
"SILVERLAND RESIDENTIAL LTD","14881752","Eli Houri; Amit Patel; Anita Patel; Orion Tamary","1st Floor 33 Brighton Road","","South Croydon","London","CR2 6EB","70B Stafford Road Croydon CR0 4NE","26/00503/GPDO","Croydon","28","7420000","4823000"
"MITCHLEY DEVELOPMENTS (AP) LIMITED","17061659","Richard Williams","41 Stanley Road","","Carshalton","","SM5 4LE","10 Albion Place Maidstone Kent ME14 5DZ","26/501272/PNMA","Mid Kent","16","6000000","3900000"
"EMPIRE REAL ESTATE DEVELOPMENT LIMITED","11224869","Zahra Daneshyar; Mozafar Gorji","Office 217 & Storage 2.4 & 2.5 (2nd Floor) 7 Eastgate","","Leeds","","LS2 7LY","7-25 Eastgate Leeds LS2 7LY","26/02479/DPD","Leeds","20","4700000","3055000"
"SOUTHMOORE LIMITED","13753268","Asmita Saujani","62 Harrow Way","","Watford","","WD19 5ET","Site Of The Former South Lodge Moorfield Road Denham Green Buckinghamshire","PL/26/02702/PIP","Buckinghamshire","9","3656000","2376000"
"HAVERSHAM INVESTMENTS LTD","10508706","Harriet Denton","Regency House","Wood Street","Barnet","","EN5 4BE","44 Barnet Road Potters Bar Hertfordshire EN6 2QU","25/1105/OUT","Hertsmere","11","3638000","2365000"
"ROBERT HITCHINS LIMITED","00686734","Jonathan Dunley; Andrew Hill; Jeremy Hitchins; Jonathan Hitchins; Gordon Jeynes; Simon Tothill","The Manor","Boddington","Cheltenham","Gloucestershire","GL51 0TJ","Land Adjacent Natton House Natton Ashchurch Tewkesbury Gloucestershire","25/01036/OUT","Tewkesbury","7","2183000","1419000"
"ALAUNA HOLDINGS LIMITED","14864829","Dominic Connolly; Robert Whisson","1 Teasdale Place","","Warwick","","CV34 6TG","Arrow Bridge House Arrow Alcester B49 5PH","26/00496/OUT","Stratford on Avon","5","1704000","1108000"
"IAN UNDERHILL DRAINAGE AND BUILDING SPECIALIST LIMITED","11914565","Ian Underhill","239 Hook Lane","","Welling","Kent","DA16 2NY","Pheasant House Gloucester Road Staverton Cheltenham Gloucestershire GL51 0SS","26/00049/PIP","Tewkesbury","4","1544000","1004000"
"YORPLACE LIMITED","09104132","Jane Morton; Kenneth Morton; Toby Morton","3rd Floor Goodbard House","15 Infirmary Street","Leeds","West Yorkshire","LS1 2JS","Lightmire Lane Great Ouseburn Field At 444718 462119","25/03795/OUT","North Yorkshire","4","1344000","874000"
"GRANITE COMMERCIAL PROPERTY LIMITED","10321524","Steven Granite","Rockfield House Gale Road","Knowsley Industrial Park","Liverpool","","L33 7YE","The Cloisters Halsall Lane Formby","DC/2026/00533","Sefton","10","1315000","855000"
"NEWLANDS DEVELOPMENTS LONGTON LIMITED","11018701","Deborah Gaw; Eileen Graham","2 Southport Road","","Chorley","","PR7 1LB","Land At Netherfields Lane Sawley","26/00513/VCIM","North West Leicestershire","4","1058000","688000"
"THE ANTUIM HILL PARTNERSHIP","SL003741","","43 Rockfield Road","Tobermory","Isle Of Mull","Argyll","","Golf Links Estate Fleming Road / Whitecote Road Southall UB1 3NR","261498NMA","Ealing","147","77947000","50666000"
"LGN PROPERTY LTD","13532597","Geoffrey Nunn; Lisa Nunn","Corner House","Market Place","Braintree","Essex","CM7 3HQ","8-25 Beech Tree Place And 29-35 West Street Sutton","DM2026/00760","Sutton","92","43470000","28256000"
"SOGAR INVESTMENTS LIMITED","08477824","David Williams","1st Floor, 37 Panton Street","","London","","SW1Y 4EA","Buckthorne Road (Land At) Normanton Wakefield","24/02022/NMC01","Wakefield","137","36236000","23553000"
"BACKHOUSE HOUSING LIMITED","10226398","Christopher Burton; Richard Castle; Theo Hajoglou; Anthony Henry-Lyons; Michelle Hyde","Number One Welcome Building","Avon Street","Bristol","","BS2 0PS","Parcels 2.1a, 2.1b, 2.2a And 2.2b At Parklands Churchland Way Weston-super-Mare","26/P/0637/NMA","North Somerset","77","25468000","16554000"
