"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"26/00204/DIS","Approved","Approved","24/02/2026","Southampton City Council","condition_discharge","hampshire","southampton","Land to rear of 104 - 107 East Street Southampton SO14 3HH","SO14 3HH","Application for approval of details reserved by condition 10 (archaeological work programme) of planning permission ref 19/00348/FUL for 16 flats.","16","2536592","1775614","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB0H6BOZ0KD00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00399/PAP3MA","Decided (Approved)","Decided (Approved)","11/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 9 apartments. As amended on 25/03/2026.","9","2385000","1669500","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBQUM7MVJT900","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00442/PAP3MA","Decided (Approved)","Decided (Approved)","17/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 8 apartments. As amended on 25/03/2026.","8","2120000","1484000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC18BQMVK9500","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00400/PAP3MA","Decided (Approved)","Decided (Approved)","11/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 8 apartments. As amended on 25/03/2026.","8","2120000","1484000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBQUN8MVJTB00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0811/DRC","Permitted","Permitted","27/02/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land West Of Halesworth Road Ilketshall St Lawrence Suffolk","","Discharge of condition No. 25 of DC/22/3413/RG3 - Residential development comprising 7 dwellings - Details of all external facing and roofing materials","7","1960000","1372000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB4DJXQXH8H00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00451/PAP3MA","Decided (Approved)","Decided (Approved)","18/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 7 apartments. As amended on 25/03/2026","7","1855000","1298500","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC32VUMVKC100","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00266/FUL","Permitted","Permitted","09/03/2026","Thurrock Council","primary_consent","essex","grays","Land Adjacent Carlton High Road Fobbing Essex","","Erection of 3 detached dwellings with associated garages, access, parking and landscaping.","3","1597500","1118250","350000","","","","","https://regs.thurrock.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBN4T4QGFRS00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00419/PAP3MA","Decided (Approved)","Decided (Approved)","13/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 6 apartments.","6","1590000","1113000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBU1UYMVJZJ00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00420/PAP3MA","Decided (Approved)","Decided (Approved)","13/03/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Betchworth House 57 - 65 Station Road Redhill Surrey RH1 1DL","RH1 1DL","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 5 apartments. As amended on 25/03/2026.","5","1325000","927500","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBU1VYMVJZL00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"260878FUL","Granted with Conditions","Granted with Conditions","27/02/2026","London Borough of Ealing","primary_consent","greater-london","ealing","13 Church Road Hanwell W7 3BB","W7 3BB","Conversion of existing single dwellinghouse (Use Class C3), into two self contained residential dwellings; alterations to side elevation fenestration; including installation of new entrance doors","2","1040000","728000","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB4GOLJMKNA00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"261025FUL","Granted with Conditions","Granted with Conditions","10/03/2026","London Borough of Ealing","primary_consent","greater-london","ealing","43 Telford Road Southall UB1 3JG","UB1 3JG","Conversion of a single family dwellinghouse into two self-contained dwellings","2","1040000","728000","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBOAMNJMKYS00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"260920FUL","Granted with Conditions","Granted with Conditions","03/03/2026","London Borough of Ealing","primary_consent","greater-london","ealing","2 Wedmore Road Greenford UB6 8SB","UB6 8SB","Conversion of single dwelling house into 2 dwellings including associate car parking, amenity space, cycle storage and refuse storage provision; single storey rear extension; part first floor rear extension; and formation of vehicle crossover (following demolition of single storey rear canopy)","2","1040000","728000","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBBHHGJMKQV00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"261052FUL","Granted with Conditions","Granted with Conditions","11/03/2026","London Borough of Ealing","primary_consent","greater-london","ealing","3 Seymour Road Chiswick W4 5ES","W4 5ES","Conversion of two flats into a single-family dwellinghouse; rear roof extension to main roofslope; roof extension to rear outrigger; installation of three rooflights to front roofslope; single storey side/rear extension; associated alteration to existing rear extension and rear elevation fenestration; and refurbishment of existing rear first floor external roof terrace","2","755370","528759","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBQAUEJML0D00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"260973FUL","Granted with Conditions","Granted with Conditions","06/03/2026","London Borough of Ealing","primary_consent","greater-london","ealing","13 Sussex Road Southall UB2 5EF","UB2 5EF","Conversion of a single dwellinghouse into two self-contained flats; front porch extension; and alterations to front, rear, and side elevations, including changes to fenestration (windows and doors) (Retrospective application)","2","755370","528759","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBH719JMKUS00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"260916VAR","Granted with Conditions","Granted with Conditions","02/03/2026","London Borough of Ealing","variation","greater-london","ealing","59 Friars Place Lane Acton W3 7AQ","W3 7AQ","Application for a Minor Material Amendment (S73.a) to vary condition 2 (approved plans) of planning permission ref: 254295FUL dated 07/01/2026 for: Conversion of a single family dwellinghouse into two self-contained flats; associated internal and external alterations including changes to rear fenestration; and provision bin and cycle storage. Amendment seeks to add an additional front entrance door.","2","755370","528759","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBA3IGJMKQC00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0849/FUL","Permitted","Permitted","03/03/2026","East Suffolk Council","primary_consent","suffolk","felixstowe","21 Seaview Road Reydon Southwold Suffolk IP18 6RL","IP18 6RL","Construction of two storey rear extension to existing dwelling.","2","560000","392000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBBMNFQXHAJ00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00531/F","Application Permitted","Application Permitted","23/03/2026","King's Lynn & West Norfolk Borough Council","variation","norfolk","kings-lynn","Caravan Site West Lee 21 Town Lane Brancaster Staithe King's Lynn Norfolk PE31 8BT","PE31 8BT","Variation of Condition 1 of Planning Permission 25/02074/RM - SOME RESERVED MATTERS: Erection of two dwellings.","2","530000","371000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCDHACIVIBK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00487/F","Application Permitted","Application Permitted","16/03/2026","King's Lynn & West Norfolk Borough Council","variation","norfolk","kings-lynn","Main Road/Chequers Lane West Winch Norfolk","","Variation of Condition 1 attached to Planning Permission 24/02213/F: VARIATION OF CONDITION 1 OF PLANNING CONSENT 24/01459/RM - Application for reserved matters: Appearance, landscaping, layout and scale for construction of 2 no. dwellings complete with garages and associated landscaping works.","2","530000","371000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC0IJQIVHXC00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00389/F","Application Permitted","Application Permitted","02/03/2026","King's Lynn & West Norfolk Borough Council","primary_consent","norfolk","kings-lynn","Land Between Threeways And The Chequers Downham Road Nordelph Norfolk","","Proposed 2 dwellings and garages","2","530000","371000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBALCAIVI3Z00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"261045FUL","Granted with Conditions","Granted with Conditions","10/03/2026","London Borough of Ealing","primary_consent","greater-london","ealing","35 St Crispins Close Southall UB1 2UH","UB1 2UH","Change of use of a single family dwellinghouse (Use Class C3a), to a residential institution as a children's home (Use Class C2), for no more than two children from ages of 5-17 under the supervision of 2 carers; and internal reconfiguration to provide communal lounge and office facilities","1","520000","364000","520000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBP543JMKZT00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00413/LBC","Approved","Approved","10/04/2026","Brentwood Borough Council","primary_consent","essex","brentwood","Dytchleys Coxtie Green Road Pilgrims Hatch South Weald Essex CM14 5RJ","CM14 5RJ","Variations of Condition 2 of Application 18/01893/LBC (Alterations and change of use of property from Class C2 (Residential Institution) & D1 (Non Residential Institution) to Class C3 (Dwelling House) involving conversion of main building to single residential dwelling, external alterations to main building including retention of exposed brickwork. Reconstruction of stable block including repair and conversion works to Clock Tower, retention of garage block and kennels, associated hard landscaping and ancillary works.) for changes to the use of multiple rooms within basement and ground floor levels within the main house, Removal of wet areas from the basement including sauna, steam room and spa and associated plant and equipment. Removal of stairs and introduction of new stairs at basement and ground floor level. Amendments to the reinstatement of a previously blocked opening, WCs and bathrooms removed and inserted in alternative locations, doorways removed and inserted in alternative locations and bathrooms removed and inserted in alternative locations.","1","500000","350000","500000","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD88GJDJ0A900","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00474/VAR","Application Approved","Application Approved","24/02/2026","East Riding of Yorkshire Council","variation","east-riding-of-yorkshire","beverley","Church Farm Church Side Goodmanham East Riding Of Yorkshire YO43 3JD","YO43 3JD","Variation of Condition 8 (Approved Plans) of planning permission 25/00659/VAR (Variation of Condition 7 (approved plans) of planning permission 24/03587/VAR (Variation of Condition 9 (approved plans) of planning permission 16/00185/PLF (Erection of two dwellings following the demolition of redundant agricultural buildings) to allow the installation of rooflights to east and west facing roof slopes of Dwelling 1 to create additional living accommodation at first floor level) to allow for a design change of Dwelling 2 through amended plans","2","484000","338800","242000","","","","","https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=TAYQRKBJMMQ00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
