"week","rank","sourceDomain","sourceUrl","domainRank","spamScore","competitorsLinked","outreachType","title","owner","status","followUpOneDue","followUpTwoDue","qualifyingNote"
"1","16","londonlovesproperty.com","https://londonlovesproperty.com/how-to-stay-compliant-when-removing-a-tenant/","62","0","19","Digital PR / expert commentary","How to fund a loft conversion in London without breaking the bank - London Property News | londonlovesproperty.com","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","17","www.cherryplc.co.uk","https://www.cherryplc.co.uk/industry/newsletter/details/5003","61","0","19","Digital PR / expert commentary","Arc & Co. completes £4.6m commercial development finish and exit loan","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","18","bridgingandcommercial.co.uk","https://bridgingandcommercial.co.uk/roundtables.php","59","0","19","Digital PR / expert commentary","Affirmative publishes bridging whitepaper","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","19","growthbusiness.co.uk","https://growthbusiness.co.uk/what-is-venture-debt-2564665/","47","0","19","Digital PR / expert commentary","You're fired! The rise of The Apprentice's Lord Sugar","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","20","metro.co.uk","https://metro.co.uk/2020/07/20/how-hard-get-mortgage-lockdown-13012599/","81","0","18","Digital PR / expert commentary","Which supermarket sells the cheapest pancake ingredients? Tesco, Asda, and more | Metro News","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","21","ibsintelligence.com","https://ibsintelligence.com/ibsi-news/thought-machine-powers-shawbrooks-digital-transformation/","67","0","18","Digital PR / expert commentary","Murex powers Aldermore Bank’s move to cloud treasury platform - IBS Intelligence","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","22","www.barcadiamedia.co.uk","https://www.barcadiamedia.co.uk/who-we-work-with","56","20","18","Manual review","Who we work with | Barcadia Media","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","23","www.finance-monthly.com","https://www.finance-monthly.com/best-easy-access-savings-rates-2024/","55","0","18","Digital PR / expert commentary","Royals Lose Land Crown: UK's 50 Biggest Landowners Revealed - Finance Monthly | Personal Finance. Money. Investing","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","24","www.acompio.co.uk","https://www.acompio.co.uk/Finanta-28295967.html","52","10","18","Manual review","ABC Finance - Hawks Green Ward - Acompio United Kingdom","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","25","scienceofproperty.com","https://scienceofproperty.com/blight-notice/","46","0","18","Guest article or resource inclusion","Do Estate Agents Lie About Viewings? Uk Secrets Uncovered! - Science Of Property","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","26","www.theguardian.com","https://www.theguardian.com/money/2013/oct/10/help-to-buy-mortgage-deals","89","0","17","Digital PR / expert commentary","Help to Buy: what mortgage rates are on offer? | Help-to-buy scheme | The Guardian","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","27","diversification.com","https://diversification.com/term/urheberrecht","61","0","17","Manual review","Besicherte schulden: Meaning, Criticisms & Real-World Uses","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","28","uk.ezilon.com","https://uk.ezilon.com/more-info/KIS-Bridging-Loan-Brokers/90628","59","15","17","Manual review","List of UK National Banks - Ezilon UK","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","29","www.loan.co.uk","https://www.loan.co.uk/privacy-policy-2/","42","0","17","Guest article or resource inclusion","Privacy Policy | Loan.co.uk","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","30","www.cityam.com","https://www.cityam.com/north-south-divide-ftse-100-more-diverse-you-think/","69","0","16","Digital PR / expert commentary","Number of SMEs 'going green' has doubled - but it hasn't been easy","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","31","www.crowdfundinsider.com","https://www.crowdfundinsider.com/2020/12/170797-rangewell-explains-what-brexit-means-for-smes/","67","0","16","Digital PR / expert commentary","UK SMEs To Spend Nearly £100K To Expand Operations In 2021, Small Businesses Showing Recovery Signs After COVID: Report | Crowdfund Insider","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","32","www.westwaleschronicle.co.uk","https://www.westwaleschronicle.co.uk/blog/2023/07/25/what-is-a-bridge-loan-calculator-about/","42","0","16","Digital PR / expert commentary","HMRC Scams to Watch Out For This Summer | West Wales Chronicle : News for Llanelli, Carmarthenshire, Pembrokeshire, Ceredigion, Swansea and Beyond","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","33","www.pymnts.com","https://www.pymnts.com/news/banking/2018/uk-banks-paragon-ppi-insurance/","71","0","15","Digital PR / expert commentary","ABC Finance Platform to Connect Business Owners With Lenders","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","34","smenews.digital","https://smenews.digital/winners/london-fs/","68","0","15","Digital PR / expert commentary","ABC FINANCE LTD (2021 Winner: Finance Awards) - SME News","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","35","medianettpublishing.com","https://medianettpublishing.com/index.php","64","20","15","Manual review","Medianett Publishing","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","36","www.padmagazine.co.uk","https://www.padmagazine.co.uk/architecture-design/brickflow-mass-reports-partnership/12751/","57","0","15","Digital PR / expert commentary","The Oddities of Mortgage Approvals: Beware These Surprising Snags | PAD Magazine","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","37","www.globalbankingandfinance.com","https://www.globalbankingandfinance.com/business-loans-explained/","56","0","15","Digital PR / expert commentary","Business Loan Lenders: Exploring the Changing Market | GBAF","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","38","www.provenexpert.com","https://www.provenexpert.com/en-gb/finbri/","90","0","14","Manual review","Bridge Street Reviews & Experiences","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","39","eur02.safelinks.protection.outlook.com","https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.kuits.com%2F&data=02%7C01%7Cmarketing%40pro-manchester.co.uk%7Cfef0f6098883421a0f3308d83f7501c9%7Cd828553ccb2a4319928000ce76a4367b%7C0%7C0%7C637329119092717773&sdata=xa1c823oQV0E1%2F6DWPG%2FKqznTIVIiSeHORYVFPvjInQ%3D&reserved=0","87","0","14","Manual review","","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","40","www.mirror.co.uk","https://www.mirror.co.uk/money/woman-22-who-set-up-26914952","83","5","14","Digital PR / expert commentary","Help with your mortgage, laundry and a nice cup of tea - meet Britain's 10th biggest mortgage lender... your parents - The Mirror","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","41","www.fca.org.uk","https://www.fca.org.uk/news/warnings/lendinvest-loans-limited-clone","82","0","14","Digital PR / expert commentary","Car finance list of lenders | FCA","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","42","gb.centralindex.com","https://gb.centralindex.com/search/tredegar/off-licence","82","10","14","Manual review","Mortgage Brokers And Consultants in Kingston Upon Thames | Central Index","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","43","aeroleads.com","https://aeroleads.com/c/thebridginggroup","64","0","14","Guest article or resource inclusion","Quality Lead Lists with LinkedIn Database and AI | AeroLeads","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","44","thefintechtimes.com","https://thefintechtimes.com/open-banking-iwoca/","61","0","14","Guest article or resource inclusion","Allica Bank Backs Campaign Combatting SME Savings 'Scandal' Leaving Small Businesses 'Shortchanged' | The Fintech Times","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","45","www.ukfinance.org.uk","https://www.ukfinance.org.uk/reachout","59","5","14","Manual review","Reach Out | UK Finance","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","46","www.thesun.co.uk","https://www.thesun.co.uk/tech/12621017/gold-24-karat-ps5-sale/","88","0","13","Digital PR / expert commentary","Mum transforms THREE drab rooms herself by sourcing bargain buys on Facebook Marketplace & eBay","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","47","www.moneysavingexpert.com","https://www.moneysavingexpert.com/redir/082a8798","84","0","13","Manual review","12 March 2024: Martin's 16 must dos to steal a March on April","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","48","techbullion.com","https://techbullion.com/benefits-of-a-monthly-budget/","76","0","13","Manual review","Benefits of a Monthly Budget - TechBullion","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","49","staging.bmmagazine.co.uk","http://staging.bmmagazine.co.uk/business/a-guide-to-startup-financing/","73","5","13","Digital PR / expert commentary","Starting a Business in the UK: Optimizing Recruitment and Onboarding","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"2","50","bmmagazine.co.uk","https://bmmagazine.co.uk/finance/guide-bridging-loans-auction-finance/","73","0","13","Digital PR / expert commentary","How can businesses fund new stock purchases?","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","51","www.walesonline.co.uk","https://www.walesonline.co.uk/news/help-buy-isa-how-access-17281876","72","15","13","Digital PR / expert commentary","Finance expert says Brits need to know details of pensions for 'better retirement' | Wales Online","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","52","www.aiupnow.com","https://www.aiupnow.com/2020/03/wales-announces-500m-economic.html","63","0","13","Guest article or resource inclusion","The best small business savings accounts - The Entrepreneurial Way with A.I.","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","53","www.thepropertydaily.co.uk","https://www.thepropertydaily.co.uk/article/2025/03/11/pros-and-cons-buying-property-auction","62","0","13","Guest article or resource inclusion","The Pros and Cons of Buying a Property at Auction | The Property Daily","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","54","moneyweek.com","https://moneyweek.com/personal-finance/bank-of-baroda-uk-closes","61","0","13","Manual review","Cash Isas: The best places for your cash | MoneyWeek","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","55","thepaypers.com","https://thepaypers.com/payments/news/apple-pay-launches-in-the-uk","60","0","13","Digital PR / expert commentary","ABC Finance launches invoice finance comparison product","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","56","fintechmagazine.com","https://fintechmagazine.com/company/aldermore-bank-10","59","5","13","Digital PR / expert commentary","Aldermore Bank | FinTech Magazine","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","57","startupsmagazine.co.uk","https://startupsmagazine.co.uk/content/gary-hemming","57","0","13","Digital PR / expert commentary","Gary Hemming | Startups Magazine","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","58","www.hbdonline.co.uk","https://www.hbdonline.co.uk/news/a-modern-method-of-covid-recovery/","55","0","13","Digital PR / expert commentary","A modern method of Covid recovery | netMAGmedia Ltd","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","59","financialit.net","https://financialit.net/blog/property-protection-why-home-insurance-must","54","0","13","Guest article or resource inclusion","Property Protection: Why Home Insurance Is a Must | Financial IT","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","60","beststartup.co.uk","https://beststartup.co.uk/20-top-bristol-based-insurance-firms/","50","0","13","Guest article or resource inclusion","31 Best Reading Based Financial Services Startups and Companies to Work For - BestStartup.co.uk","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","61","bdcmagazine.com","https://bdcmagazine.com/2025/03/the-economics-of-casino-resort-development/","44","0","13","Digital PR / expert commentary","How to Improve Project Cash Flow with Development Exit Finance","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","62","www.loanswarehouse.co.uk","https://www.loanswarehouse.co.uk/legal/privacy-cookie-policy","44","0","13","Manual review","Privacy & Cookie Policy | Loans Warehouse","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","63","www.buyassociationgroup.com","https://www.buyassociationgroup.com/en-us/news/hs2-manchester/","43","0","13","Digital PR / expert commentary","HMO property investment: a top option for BTL landlords?","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","64","www.telegraph.co.uk","https://www.telegraph.co.uk/fashion/people/victoria-beckham-stella-mccartney/","83","0","12","Digital PR / expert commentary","Rate alert: latest borrowing and savings deals","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","65","www.mylocalservices.co.uk","https://www.mylocalservices.co.uk/RBS+Wishaw-Wishaw-3084596.html","80","30","12","Manual review","Birminghammoneyman - Mortgage Broker, Birmingham | Mortgage Brokers","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","66","www.branchenbuch.ch","https://www.branchenbuch.ch/de/web/ch/casaplaner/10/","66","0","12","Manual review","Websuche mit 'hirnverletz' - Websuche - branchenbuch.ch","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","67","www.insidermedia.com","https://www.insidermedia.com/event/south-east-dealmakers-awards-2025","59","0","12","Manual review","Insider South East Dealmakers Awards 2025","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","68","www.otsnews.co.uk","https://www.otsnews.co.uk/what-factors-impact-the-mortgage-rates/","58","0","12","Digital PR / expert commentary","How To Beat The Cooling Property Market – OTS News – Southport","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","69","propertynewsdesk.co.uk","https://propertynewsdesk.co.uk/2020/04/23/what-is-a-second-mortgage/","53","0","12","Digital PR / expert commentary","How to Secure Auction Finance Quickly in the UK - UK Property Newsdesk","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","70","www.wales247.co.uk","https://www.wales247.co.uk/buy-now-sell-later-with-bridging-loans","52","0","12","Guest article or resource inclusion","Will Rental Controls Make Their Intended Mark On The Welsh Market?","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","71","alltopstartups.com","https://alltopstartups.com/2015/06/16/startup-stress/","51","0","12","Manual review","How Do Commercial Real Estate Developers Make Money? - AllTopStartups","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","72","www.frwra.co.uk","https://www.frwra.co.uk/winners-2024","51","0","12","Manual review","The Women's Recognition Awards 2026 | Women's Recognition Awards","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","73","www.financial-news.co.uk","https://www.financial-news.co.uk/eis-investments-explained/","49","0","12","Digital PR / expert commentary","Property Finance Market: How Bridging Lenders Are Adapting to Rate Changes - Financial News","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","74","financedigest.com","https://financedigest.com/getting-lenders-on-the-hookhtml/","46","0","12","Manual review","What is an HMO: A Complete Guide for Landlords","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"3","75","lodgefarm-plants.com","https://lodgefarm-plants.com/seoglobalservices/best-white-dark-hat-linkbuilding-for-your-website-60/","44","30","12","Guest article or resource inclusion","BEST WHITE/DARK HAT LINKBUILDING FOR YOUR WEBSITE! NO PREPAYMENTS! 100% TRUSTWORTHY! – Lodge Farm Plants","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","76","bit.ly","http://bit.ly/bG0OSN","97","0","11","Manual review","","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","77","www.zoominfo.com","https://www.zoominfo.com/c/atom-bank-plc/426133824","80","0","11","Digital PR / expert commentary","Aldermore - Overview, News & Similar companies | ZoomInfo.com","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","78","platoaistream.com","https://platoaistream.com/fi/platon-tiedot/black-fridays-aidot-v%C3%A4rit/","77","0","11","Guest article or resource inclusion","人工智能在亲密角色中的作用：女朋友和治疗师 - KDnuggets - Plato AiStream V2.1","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","79","fintech.global","https://fintech.global/2023/01/17/lendinvest-secures-lloyds-bank-backing/","71","0","11","Guest article or resource inclusion","Yes, there’s still sexism in the financial cybersecurity space and this is what can be done about it","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","80","www.onrec.com","https://www.onrec.com/news/news-archive/how-to-become-a-mortgage-broker","71","0","11","Digital PR / expert commentary","SMEs upbeat but recruitment causes sleepless nights | Onrec","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","81","www.diyinvestor.net","https://www.diyinvestor.net/calculators/","70","0","11","Guest article or resource inclusion","DIY Investor - The Do-It-Yourself Investing Blog","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","82","www.callupcontact.com","https://www.callupcontact.com/b/business/NatWest/792406","69","30","11","Manual review","Ability Capital Limited in Brentford - Middlesex - TW8 8JF - Contact Us, Phone Number, Address and Map","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","83","www.landlordtoday.co.uk","https://www.landlordtoday.co.uk/breaking-news/2015/11/aldermore-launches-landlord-hub/","65","0","11","Digital PR / expert commentary","Estate Agents' Guide to Second-Charge Mortgages: A Valuable Tool for Clients - Landlord Today","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","84","londonlovesbusiness.com","https://londonlovesbusiness.com/company-insolvencies-up-17-last-month/","63","0","11","Digital PR / expert commentary","Company insolvencies up 17% last month - London Business News | Londonlovesbusiness.com","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","85","brannon.eu","https://brannon.eu/best-invoice-factors-in-great-britain/","62","0","11","Guest article or resource inclusion","Top Lenders for Asset Finance in the UK - Brannon Consultants","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","86","ratingsplus.co.uk","https://ratingsplus.co.uk/city/knowsley/mortgage-broker/ltc-mortgages","59","0","11","Manual review","Affinity Seven Law Solicitors Rochdale - Ratings Plus","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","87","investropa.com","https://investropa.com/blogs/news/best-place-uk","50","0","11","Digital PR / expert commentary","How Much Lands Cost in the UK Today (2026)
 – Investropa","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","88","london-post.co.uk","https://london-post.co.uk/uk-secured-loans-market-booming/","49","0","11","Guest article or resource inclusion","Is your funding in place for your next property development? - London Post","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","89","entrepreneurhandbook.co.uk","https://entrepreneurhandbook.co.uk/author/conrad_ford123/","47","0","11","Guest article or resource inclusion","How Large Bridging Loans Can Work for Your Business","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
