"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"26/01383/S73","Approved","Approved","07/05/2026","Cheshire West and Chester Council","variation","cheshire","chester","Land At West Bank Chester","","Erection of 6 dwellings with associated landscaping, parking and access works (variation of conditions attached to permission reference 20/00300/FUL)","6","1680000","1176000","280000","","","","","https://pa.cheshirewestandchester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TENKQOTEIL700","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00969/RPB","Granted","Granted","29/04/2026","Dacorum Borough Council","primary_consent","hertfordshire","hemel-hempstead","56B And 56C Western Road Tring Hertfordshire HP23 4BB","HP23 4BB","Change of use of Class E floorspace, to provide 5 apartments under Class MA of the GPDO.","5","1260000","882000","450000","","","","","https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TE6WSQFOGNH00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1544/FUL","Permitted","Permitted","24/04/2026","East Suffolk Council","primary_consent","suffolk","felixstowe","Bank Cottages North Entrance Saxmundham Suffolk IP17 1AP","IP17 1AP","Single storey pitched roof extension to East side of dwelling. Internal alterations to Bank 1 & 2 Cottages to form one 4 bedroom dwelling.","4","1120000","784000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDYGQZQXICN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00462/PA56","Approved","Approved","21/04/2026","Southampton City Council","primary_consent","hampshire","southampton","150 - 152 High Street Southampton SO14 2BT","SO14 2BT","Prior Approval sought for a change of use of the first and second floor from Commercial, Business and Service (Use Class E) to 7 flats (5 x 1 bed, 1 x studio, 1 x 2 bed) (Use Class C3) and part change of use ground floor to facilitate residential access, cycle and bin storage","7","1116458","781521","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDUF9XOZGSC00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"262047FUL","Granted with Conditions","Granted with Conditions","18/05/2026","London Borough of Ealing","primary_consent","greater-london","ealing","138 Dormers Wells Lane Southall UB1 3JB","UB1 3JB","Conversion of a single dwellinghouse into two self-contained dwellings; first floor rear extension; and provision of associated amenity space, refuse and cycle storage","2","1020000","714000","510000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF8RN7JMFO200","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"262009FUL","Granted with Conditions","Granted with Conditions","15/05/2026","London Borough of Ealing","primary_consent","greater-london","ealing","Nursing Home 9 Dormers Wells Lane Southall UB1 3HU","UB1 3HU","Construction of two storey block to provide care home facility with amenity, cycle parking and refuse facility to the existing nursing home with provision of external alterations (Use Class C2); alterations to existing building fenestrations; alteration to boundary wall; installation of glass panel; installation of glass roof","2","1020000","714000","510000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF2FTFJMFIR00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00490/PA56","Approved","Approved","27/04/2026","Southampton City Council","primary_consent","hampshire","southampton","72 - 74 Anglesea Road Southampton SO15 5QS","SO15 5QS","Permitted Development Assessment - Prior Approval sought for a change of use of commercial building (Class E) to 6 flats (3 x 2 bed, 3 x 1 bed) (Use Class C3)","6","956964","669875","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TE5U0VOZH4U00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00461/FUL","Approved","Approved","21/04/2026","Southampton City Council","primary_consent","hampshire","southampton","5 - 7 Morris Road Southampton SO15 2BS","SO15 2BS","Roof alterations including rear dormer windows to facilitate conversion of existing dwellings into 6 flats (2x 3-bed, 4x 1-bed) with associated amenities and parking. (Part retrospective).","6","956964","669875","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDUF9GOZGS900","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00603/LBC","Approved","Approved","26/05/2026","Southampton City Council","primary_consent","hampshire","southampton","11 Portland Street Southampton","","Listed building consent for sought for conversion of office into 5 flats (1x2-bed, 4x1-bed) with external alterations (submitted in conjunction with application 25/01245/FUL)","5","797470","558229","250000","","","","","https://planningpublicaccess.southampton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFLDDAOZJ3700","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1703/FUL","Permitted","Permitted","26/05/2026","East Suffolk Council","primary_consent","suffolk","felixstowe","Land At Rear Of Beverley Accessed Via 145 Bucklesham Road Purdis Farm Suffolk IP3 8UB","IP3 8UB","Construction of two detached dwellings including vehicular access and associated external works","2","750000","525000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TEO6QYQX06O00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"262028FUL","Granted with Conditions","Granted with Conditions","18/05/2026","London Borough of Ealing","primary_consent","greater-london","ealing","97 Mansell Road Greenford UB6 9EJ","UB6 9EJ","Conversion of dwellinghouse into 2x self-contained flats with provision of refuse storage; parking space, cycle storage; amenity spaces; single storey rear extension (following demolition of existing rear extension); rear roof extension; installation of two rooflights to front roofslope; installation of timber fence","2","740000","518000","510000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TF52UDJMFLE00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"PL/26/0496","Recommendation Made","Approve with Conditions","06/05/2026","Reading Borough Council","primary_consent","berkshire","reading","84 BASINGSTOKE ROAD, READING, RG2 0EL","RG2 0EL","Conversion of 6-bedroom dwellinghouse (C3) to 3x flats (1no. 3-bed, 2 nos. 1-bed)","3","682500","477750","340000","Mr Velkumaran  Vadivel","","Mr Naresh Samban","","https://publicregister.reading.gov.uk/pr/s/detail/a0zP2000009rzHtIAI?c__r=Arcus_BE_Public_Register","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/01555/FUL","Granted","Granted","01/05/2026","City of Bradford","primary_consent","west-yorkshire","bradford","2 - 16 Sir Isaac Holden Place Bradford West Yorkshire BD7 1LY","BD7 1LY","Replacement windows and patio doors to 8No self-contained flats","8","648000","453600","160000","","","","","https://planning.bradford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TED769DHHMG00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/0536/FUL","Permitted","Permitted","13/04/2026","Exeter City Council","primary_consent","devon","exeter","44 Winsor Avenue Exeter EX2 4BL","EX2 4BL","Change of use from a preschool to two residential units with associated parking and access.","2","600000","420000","300000","","","","","https://publicaccess.exeter.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDFTVJHBGUT00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00727/VAR","Approved","Approved","27/04/2026","Teignbridge District Council","primary_consent","devon","newton-abbot","Land Adjacent 77 Exeter Road Newton Abbot Devon","","Variation of conditions 2, 5, 7, 10, 11 and 12 and removal of condition 3 on planning permission 22/01280/FUL (Two dwellings with garages and parking) to amend the design, layout and tree management","2","590000","413000","295000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TE5WFPPZH4N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"20/01221/NON/3","Approved","Approved","13/04/2026","Brentwood Borough Council","non_material_amendment","essex","brentwood","1 Former Wates Way Industrial Estate Brentwood CM15 9AZ","CM15 9AZ","Non-material amendment to application 20/01221/FUL and Appeal Ref APP/H1515/W/22/3301674 (Demolition of all buildings and structures and the construction of a Class E foodstore and Class C3 dwellinghouses (46 x 1 and 2 bed flats), together with access/egress from Ongar Road and Burland Road, car parking, landscaping, replacement substation, and associated engineering works) to allow for the below changes: The subdivision of the approved cycle storage (bike store) into two separate stores, following advice from the project's fire consultant. The introduction of one additional single external access door to serve the reconfigured cycle storage. The removal of one previously approved external door serving a stair core. This door originally opened into a lift lobby, which is now incorporated within the main stair core and no longer requires a separate external access. The insertion of a partition wall in the duplexes to create a study due to oversized living areas.","2","542500","379750","492625","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDFWX7DJL6F00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00693/F","Application Permitted","Application Permitted","20/04/2026","King's Lynn & West Norfolk Borough Council","primary_consent","norfolk","kings-lynn","Grantly 108 School Road Terrington St John Wisbech Norfolk PE14 7SG","PE14 7SG","VARIATION OF CONDITIONS 2,8,9,11 OF PLANNING PERMISSION 24/00539/F: Redevelopment of Grantly Site, demolition of existing bungalow and construction of two new chalet bungalows","2","530000","371000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDWDVZIV0L800","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"261573FUL","Granted with Conditions","Granted with Conditions","14/04/2026","London Borough of Ealing","primary_consent","greater-london","ealing","1 Gemini Grove Northolt UB5 6ER","UB5 6ER","Change of use of single dwellinghouse (Use Class C3) into a 5-bedroom House in Multiple Occupation (HMO) (Use Class C4); including a single storey side and rear wraparound extension","1","510000","357000","510000","","","","","https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDH1AXJMM2400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
