"week","assetId","template","formatSet","title","sourceUrl","hook","dataOverlay","cta","distribution"
"3","seo-30","Developer mistakes short","9:16, 1:1, 16:9","bridging loan interest rates","/calculators/bridging-loan-interest-rates","What developers need to know about bridging loan interest rates","1300 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-31","Planning approval funding view","9:16, 1:1, 16:9","development finance loans","/guides/development-finance-loans","What developers need to know about development finance loans","390 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-32","70% LTGDV site breakdown","9:16, 1:1, 16:9","uk property development finance","/guides/uk-property-development-finance","What developers need to know about uk property development finance","110 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-33","Bridging loan rate explainer","9:16, 1:1, 16:9","loans for development","/guides/loans-for-development","What developers need to know about loans for development","480 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-34","Development exit finance explainer","9:16, 1:1, 16:9","bridging finance on property","/guides/bridging-finance-on-property","What developers need to know about bridging finance on property","720 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-35","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","bridging loan scotland","/guides/bridging-loan-scotland","What developers need to know about bridging loan scotland","1600 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-36","Location market snapshot","9:16, 1:1, 16:9","development exit loans","/guides/development-exit-loans","What developers need to know about development exit loans","90 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-37","Weekly market and rate update","9:16, 1:1, 16:9","uk bridging loan","/guides/uk-bridging-loan","What developers need to know about uk bridging loan","2900 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-38","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","regulated bridging loans","/guides/regulated-bridging-loans","What developers need to know about regulated bridging loans","390 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-39","Case study animation","9:16, 1:1, 16:9","bridging loan brokers","/services/bridging-loan-brokers","What developers need to know about bridging loan brokers","880 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-40","Developer mistakes short","9:16, 1:1, 16:9","loans for property development","/guides/loans-for-property-development","What developers need to know about loans for property development","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","recurring-1","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-2","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-3","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-4","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-5","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-6","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-7","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-8","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-9","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-10","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-11","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-12","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-13","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-14","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-15","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-16","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-17","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-18","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-19","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-20","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-21","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-22","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-23","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-24","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-25","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-26","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-27","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-28","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-29","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-30","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-31","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-32","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-33","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-34","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-35","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"8","recurring-36","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
