"priority","category","prospectSlot","offer","firstAction","targetMonthlyPipeline","status"
"P1","Architects","Architects 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","QS and project monitors","QS and project monitors 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Valuers","Valuers 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Solicitors","Solicitors 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P2","Accountants","Accountants 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Accountants","Accountants 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P2","Land agents","Land agents 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Property sourcers","Property sourcers 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Estate agents handling development sites","Estate agents handling development sites 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P3","Specialist finance brokers","Specialist finance brokers 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","500000","research_required"
"P1","Location competitor intelligence","cliftonpf.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","spvmortgages.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","1000000","research_required"
"P1","Location competitor intelligence","fairmortgages.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","1000000","research_required"
"P1","Location competitor intelligence","fastbridgefunding.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","hankzarihs.com","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","shawbrook.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","brickflow.com","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","togethermoney.com","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","bridgingfinance-solutions.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging finance london; bridging loans manchester","1000000","research_required"
"P1","Location competitor intelligence","westoneloans.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","1000000","research_required"
"P1","Location competitor intelligence","bridgingloandirectory.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans manchester; bridging loan manchester; bridging finance manchester","500000","research_required"
"P1","Location competitor intelligence","mt-finance.com","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging finance london; bridging loan manchester","500000","research_required"
"P1","Location competitor intelligence","finspace.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","500000","research_required"
"P1","Location competitor intelligence","mfsuk.com","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","500000","research_required"
"P1","Location competitor intelligence","bridgeloandirect.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging loans manchester","500000","research_required"
"P1","Location competitor intelligence","finbri.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans manchester; bridging loan manchester; bridging finance manchester","500000","research_required"
"P1","Location competitor intelligence","mslendinggroup.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans manchester; bridging loan manchester; bridging finance manchester","500000","research_required"
"P1","Location competitor intelligence","westminsterfinance.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","500000","research_required"
"P1","Location competitor intelligence","kisbridgingloans.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging finance london; bridging loans birmingham","500000","research_required"
"P1","Location competitor intelligence","nesto.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans manchester; bridging loan manchester; bridging loans birmingham","500000","research_required"
"P1","Location competitor intelligence","bridgingfinance4u.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","500000","research_required"
"P1","Location competitor intelligence","ultimatefinance.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loan manchester; bridging finance manchester; bridging loan birmingham","500000","research_required"
"P1","Location competitor intelligence","respectcapital.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loan london; bridging finance london","500000","research_required"
"P1","Location competitor intelligence","mercantiletrust.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: bridging loans london; bridging loans manchester; bridging loans birmingham","500000","research_required"
"P1","Location competitor intelligence","paragonbank.co.uk","Map partner pages, resource links and introducer relationships","Review backlinks and pages ranking for: development finance london; bridging loans london; bridging loan london","500000","research_required"
